SamplePic,SampleSound,SampleMovie,r,c,Correct,r_1,c_1,Foil1,r_2,c_2,Foil2,r_3,c_3,Foil3,r_4,c_4,Foil4,r_5,c_5,SampleMode,Feedback,Correct_1,RT,Comment,filename,trial,correct,shape_combination,session,cont_trial,condition,test_shape
none,Lettuce.wav,none,0,0,Lettuce_01.jpg,2,2,Pineapple_02.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES,1592,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,59,1,Lettuce_01.jpg_Pineapple_02.jpg,1,59,regular,"NA"
none,Bug.wav,none,0,0,Bug_02.jpg,2,3,Egg_01.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1760,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,60,1,Bug_02.jpg_Egg_01.jpg,1,60,regular,"NA"
none,Mushroom.wav,none,0,0,Mushroom_02.jpg,3,1,Tummy_01.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1068,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,61,1,Mushroom_02.jpg_Tummy_01.jpg,1,61,regular,"NA"
none,Pinecone.wav,none,0,0,Pinecone_02.jpg,1,3,Straw_02.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1473,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,62,1,Pinecone_02.jpg_Straw_02.jpg,1,62,regular,"NA"
none,Turtle.wav,none,0,0,Turtle_02.jpg,2,1,Peanut_02.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1374,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,63,1,Turtle_02.jpg_Peanut_02.jpg,1,63,regular,"NA"
none,Balloon.wav,none,0,0,Balloon_01.jpg,1,1,Pillow_02.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1297,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,64,1,Balloon_01.jpg_Pillow_02.jpg,1,64,regular,"NA"
none,Bread.wav,none,0,0,Bread_01.jpg,2,3,Hose_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1311,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,65,1,Bread_01.jpg_Hose_01.jpg,1,65,regular,"NA"
none,Shirt.wav,none,0,0,Shirt_01.jpg,1,1,Squirrel_02.jpg,2,2,none,0,0,none,0,0,none,0,0,2,yes,NO,1580,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,66,0,Shirt_01.jpg_Squirrel_02.jpg,1,66,regular,"NA"
none,sese.wav,none,0,0,ESlide34.jpg,2,1,RSlide2.jpg,1,3,none,0,0,none,0,0,none,0,0,2,no,YES,1123,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,67,1,ESlide34.jpg_RSlide2.jpg,1,67,test,edgy
none,Foot.wav,none,0,0,Foot_01.jpg,3,2,Fire_02.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,NO,1193,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,68,0,Foot_01.jpg_Fire_02.jpg,1,68,regular,"NA"
